Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
School Supervision;NO_LABEL;NO_LABEL;Non-School;NO_LABEL;Substitute;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;nan;nan;nan;nan;nan;nan;nan;ADMIN. SERVICES;nan;nan;nan;nan;1000.32;nan;nan;nan
Untracked Budget Set-Aside;Untracked Budget Set-Aside;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;WORKERS' COMPENSATION         ;nan;nan;SUB TEACHER ALL               ;nan;nan;nan;School ;0.0;INST STAFF TRAINING SVCS      ;nan;nan;0.77;FDLRS                         ;GENERAL FUND                  ;NATIONAL LITERACY PROJECT     
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Operating, Not PreK-12;Personal Services - Other Personnel;nan;nan;SECRETARY ADMIN;nan;Adult Education;nan;nan;0.0;nan;nan;ADM SECRETARY;8729.87698894;Instruction - Regular;School Federal Projects;ADULT EDUCATION
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Speech Therapist;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;FEDERAL GDPG FUND - FY ;Speech Language Pathologst ;nan;nan;nan;SPECIAL EDUCATION;0.200014492408;TITLE VI-IDEA B-MAIN;nan;PROFESSIONAL-INSTRUCTIONAL;11996.316402299995;SPECIAL ED-S/L-CHILD FIND;nan;SPECIAL EDUCATION
Aides Compensation;Instruction;School Reported;School;PreK;TA;Base Salary/Compensation;PreK;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;DISTRICT SPECIAL REVENUE FUNDS;Early Childhood Education ;Regular;nan;nan;nan;0.39642857142899995;MONTESSORI TUITION BASED;nan;PARAPROFESSIONAL;6290.84807096;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Custodians;nan;nan;CUSTODIAN;nan;Operation of Plant;nan;nan;1.0;nan;nan;CUSTODIAN;26201.7024341;Operations;General Purpose School;nan
Facilities & Maintenance;O&M;Shared Services;Non-School;Unspecified;Non-Position;Contracted Services;Non PreK;PreK-12 Operating;Garbage Removal and Cleaning Services;nan;Operation and Maintenance of Plant Services;nan;nan;nan;Property Services (Other Than Utilities) *;nan;nan;Care and Upkeep of Building Services;nan;nan;164125.62;nan;General;FACILITIES ADMINISTRATION
Enrichment;Pupil Services & Enrichment;School Reported;School;Unspecified;Non-Position;Other Non-Compensation;NO_LABEL;PreK-12 Operating;TRANSPORTATION/FIELD TRIPS;nan;FEDERAL GDPG FUND - FY ;(blank);Regular;nan;nan;nan;nan;COMMUNITY DEVELOPMENT BLOCK;nan;UNDESIGNATED;200.29;GENERAL MIDDLE/JUNIOR HIGH SCH;nan;REGULAR INSTRUCTION
Physical Health & Services;Pupil Services & Enrichment;Shared Services;Non-School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;GENERAL SUPPLIES;SCHOOL NURSE SERVICES;DISTRICT SPECIAL REVENUE FUNDS;(blank);nan;nan;nan;SCHOOL NURSE SERVICES;nan;WELLNESS COORDINATOR;nan;UNDESIGNATED;431.95;OTHER GENERAL EDUCATION;nan;REGULAR INSTRUCTION
Development & Fundraising;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITALIZED  EQUIP        ;nan;nan;nan;nan;nan;nan;EDUC FOUNDATION DIRECTOR      ;nan;PLANNING,RES,DEV,& EVAL       ;nan;nan;100.81;nan;GENERAL FUND                  ;EDUC FOUNDATION DIRECTOR      
Teacher Compensation;Instruction;School Reported;School;PreK;Teacher;Benefits;PreK;PreK-12 Operating;EMPLOYEE BENEFITS;nan;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Elementary ;Regular;nan;nan;nan;nan;TUITION BASED - ECE;nan;PROFESSIONAL-INSTRUCTIONAL;245.77;EARLY CHILDHOOD;nan;REGULAR INSTRUCTION
Professional Development;ISPD;Leadership & Management;Non-School;Unspecified;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;WORKSHOP PARTICIPANT          ;nan;nan;TEACHER, COMPUTER ED-E        ;nan;nan;nan;CHIEF ACADEMIC OFFICER        ;nan;INST STAFF TRAINING SVCS      ;USING DATA HUMAN CAPITAL DECIS;nan;519.06;COMMON CORE STATE STANDARDS   ;ARRA - RACE TO THE TOP        ;RACE TO THE TOP               
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;School Community Liaison ;Turnaround;nan;nan;nan;0.662830267559;NON-PROJECT;nan;PROFESSIONAL-OTHER;21778.269387;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Physical Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Occ/Physical Therapist Tech ;nan;nan;nan;SPECIAL EDUCATION;nan;TITLE VI-IDEA B-MAIN;nan;PARAPROFESSIONAL;3008.38;SPECIAL EDUCATION;nan;SPECIAL EDUCATION
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Poverty;Social Worker;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Other Personnel;nan;nan;nan;nan;Title I - Supervisors;nan;nan;0.0;nan;nan;Para Professional Social Worke;4182.551419040001;Support - Regular Instruction;School Federal Projects;ESEA TITLE I DISADVANTAGED
Parent & Community Relations;Pupil Services & Enrichment;Shared Services;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Community School Child Care ;nan;nan;nan;COMMUNITY EDUCATION;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;89.96;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Career & Academic Counseling;Pupil Services & Enrichment;School Reported;School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;GENERAL SUPPLIES;nan;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;2219.53;COUNSELING - CAREER;nan;COCURRICULAR ED/ACTIVITIES
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Physical Therapist;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Physical Therapist;nan;nan;nan;nan;0.2;nan;nan;PHYSICAL THERAPIST ;15912.712;SPECIAL EDUCATION CATEGORY V;General Fund;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Supplemental Textbooks;nan;Special Instruction;nan;nan;nan;Textbooks *;nan;nan;Disadvantaged Youth *;nan;nan;-1581.18;nan;Title I - Disadvantaged Children/Targeted Assistance;TITLE  SCHOOLWIDE
School Administration;Leadership;School Reported;School;Unspecified;Sec/Clerk/Other Admin;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Secretary I ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;356.42;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Professional Development;ISPD;School Reported;School;Poverty;Instructional Coach;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;SKILLS SPECIALIST, ADITIONAL;nan;nan;Extended Day;School ;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;208.864409291;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED DAYS
Professional Development;ISPD;Shared Services;Non-School;Special Education;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;ARRA - STIMULUS;Teacher, Short Term Sub ;nan;nan;nan;SPECIAL EDUCATION;0.004310344827590001;IDEA ARRA;nan;PROFESSIONAL-INSTRUCTIONAL;109.72793846799999;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Teacher Compensation;Instruction;School Reported;School;Special Education;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;GENERAL EDUCATION;LOCAL;Teacher;nan;nan;nan;nan;1.0;nan;nan;nan;91913.2225116;nan;nan;nan
Facilities & Maintenance;O&M;Shared Services;Non-School;NO_LABEL;Custodian;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;CUSTODIAL-SCHOOLS;GENERAL FUND;Custodial Helper - Day ;New/Closed Schl;nan;nan;nan;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;444.81;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Student Transportation;O&M;Shared Services;Non-School;Special Education;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;TRANSPORTATION;GENERAL FUND;Special Needs Bus Asst ;nan;nan;nan;GARAGE;nan;NON-PROJECT;nan;PARAPROFESSIONAL;602.39;TRANSPORTATION-OPERATIONS;nan;STUDENT TRANSPORTATION
Enrichment;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;AFTERSCHOOL PROGRAMS;SUMMER ED, ARTS & SPORTS - SEAS;Aide (Afterschool);nan;nan;nan;OFC COM & ED PROG-AFTER SCHOOL AIDES;0.025;nan;nan;nan;923.011947218;nan;nan;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Operating, Not PreK-12;OTHER SUPPORT PERSONNEL       ;nan;nan;CUSTODIAN                     ;nan;nan;nan;CHARTER;1.0;OPERATION OF PLANT            ;nan;nan;28768.9010867;nan;CONVERSION CHARTER SCHOOLS    ;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Payment for the Special Education of Students who Reside in the District*;nan;Special Instruction;nan;nan;nan;Tuition And Other Similar Payments;nan;nan;Other Special *;nan;nan;-0.9;nan;General;SPECIAL PROJECTS-FINANCIA
Library & Media;Instruction;School Reported;School;Unspecified;Librarian;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Library Media Center ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-9.55;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Extended Time & Tutoring;Instruction;School Reported;School;At Risk;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;State Ed. Allotment;TEACHER, REGULAR;nan;Science Extended Day;Extended Day;School ;nan;Instruction;Special Programs;TEACHER BACHELOR;546.1670876530001;Title I, Part A Schoolwide Activities Related To State Comp;General Operating Fund;EXTENDED DAYS
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Occupational Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Occupational Therapist ;nan;nan;nan;SPECIAL EDUCATION;nan;TITLE VI-IDEA B-MAIN;nan;PROFESSIONAL-INSTRUCTIONAL;232.25;SPECIAL EDUCATION-OT;nan;SPECIAL EDUCATION
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Unspecified;Nurse;Base Salary/Compensation;PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;SCHOOL CLINIC ADMINISTRATION;nan;nan;Salaries And Wages For Teachers And Other Professi;School ;0.03;Health Services;All Campus Payroll;NURSE;1611.4861428200006;PRE-K;General Operating Fund;REGULAR PAY
Teacher Compensation;Instruction;School on Central Budgets;Non-School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;GENERAL FUND;Teacher, Elementary ;nan;nan;nan;PERSONNEL-PAID LEAVE;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;42.08;STAFF SERVICES;nan;CENTRAL
Curriculum Development;ISPD;Shared Services;Non-School;Gifted;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;BOOKS AND PERIODICALS;GIFTED AND TALENTED;STATE AND LOCAL GDPG FUND;(blank);nan;nan;nan;GIFTED AND TALENTED;nan;STATE - GIFTED AND TALENTED;nan;UNDESIGNATED;12437.75;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;MEDICAL, SURGICAL AND LAB;HEALTH SERVICES;LOCAL;nan;nan;nan;nan;nan;nan;nan;nan;SUPPLIES AND MATERIALS;1001.17;STUDENT SUPPORT SERVICES;LOCAL FUND;nan
Instructional Materials & Supplies;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;PRIMARY GRADES PROGRAM ;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;413.84;PRIMARY GRADES PROGRAM ;General Fund;nan
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Nurse Aide;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Clinic Assistant;nan;nan;nan;nan;1.0;nan;nan;CLINIC ASSISTANT ;31314.51;NURSES;General Fund;nan
Recruitment;ISPD;Shared Services;Non-School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;GENERAL SUPPLIES;HUMAN RESOURCES RECRUITMENT;DISTRICT SPECIAL REVENUE FUNDS;(blank);nan;nan;nan;HUMAN RESOURCES;nan;NEW TEACHER RECRUITMENT;nan;UNDESIGNATED;117.01;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;TEACHER SUBS;GENERAL FUND;Teacher,Retrd Shrt Term Sub ;Regular;nan;nan;nan;0.004310344827590001;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;129.36498492500002;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
School Administration;Leadership;School Reported;School;Unspecified;Vice Principal;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Assistant Principals;nan;nan;ASSISTANT PRINCIPAL - MIDDLE;nan;Office of Principal;nan;nan;1.0;nan;nan;ASST PRINCIPAL;79068.40000000001;Principal's Office;General Purpose School;nan
Communications;Leadership;Leadership & Management;Non-School;Unspecified;Non-Position;Supplies/Materials;Non PreK;PreK-12 Operating;Office Supplies;nan;Support Services - Central;nan;nan;nan;General Supplies *;nan;nan;Public Information Services;nan;nan;19017.34;nan;General;STRATEGIC COMMUNICATIONS
Library & Media;Instruction;School Reported;School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Tech Prep Resource ;Regular;nan;nan;nan;nan;CARL PERKINS;nan;PARAPROFESSIONAL;1278.5;TECHNICAL ED/COMPUTER TECH;nan;VOCATIONAL EDUCATION
Enrichment;Pupil Services & Enrichment;Shared Services;Non-School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;TRANSPORTATION,BUS DRIVERS,REG;nan;nan;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Extracurricular Activities;Transportation Department;BUS DRIVER;282.27;Undistributed;General Operating Fund;FIELD TRIPS
Extended Time & Tutoring;Instruction;School Reported;School;ELL;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title Iii Part A - Lep;TEACHER, REGULAR;nan;nan;Extended Day;School ;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;33.4799682587;Bilingual Education And Special Language Programs;Title Iii Part A - Lep;EXTENDED DAYS
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Supplies and Materials;nan;Community Services;nan;nan;nan;Supplies And Materials;nan;nan;Other Community Services *;nan;nan;78.85000000000002;nan;Title I - Disadvantaged Children/Targeted Assistance; ARRA PI/HOMELESS
Facilities & Maintenance;NO_LABEL;Shared Services;Non-School;NO_LABEL;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;REPAIR AND MAINTENANCE SERVICES;nan;MISCELLANEOUS;nan;nan;nan;nan;ADMIN. SERVICES;nan;MAINTENANCE AND OPERATING;nan;nan;-3248.0;Misc;General Fund;nan
Food Services;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;PURCHASED FOOD;nan;SCHOOL NUTRITION SERVICE;nan;nan;nan;nan;nan;nan;SCHOOL NUTRITION;nan;nan;1283.86;Misc;School Nutrition Service Fund;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Software Materials;nan;Support Services - Instructional Staff;nan;nan;nan;General Supplies *;nan;nan;Instruction And Curriculum Development Services *;nan;nan;nan;nan;Special Trust;ITEMS FOUNDATION-NOV 
School Administration;Leadership;School Reported;School;Special Education;Vice Principal;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Idea Part B Formula;SCHOOL PRINCIPAL;nan;nan;Extra Duty Wages;School ;nan;School Leadership;Instruction And Curriculum;ASST PRIN MIDDLE SCHOOL;292.273323058;Services To Students With Disabilities (Special Education);Idea Part B Formula;EXTENDED DAYS
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;CUSTODIAL-SCHOOLS;GENERAL FUND;Custodian-Part Time ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;25.03;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Substitute Compensation;Instruction;School Reported;School;Unspecified;Teacher;Substitute Compensation;NO_LABEL;PreK-12 Operating;TEACHER COVERAGE FOR TEACHER;TEACHER SUBS;GENERAL FUND;Teacher, Secondary (High) ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;72.37768000000001;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Unspecified;Nurse;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;SCHOOL CLINIC ADMINISTRATION;nan;Undistributed;Salaries And Wages For Teachers And Other Professi;School ;1.0;Health Services;All Campus Payroll;NURSE;61422.82562690001;Undistributed;General Operating Fund;REGULAR PAY
Instructional Materials & Supplies;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;INTELLECTUALLY GIFTED STUDENT;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;524.99;PROGRAM FOR INTELLECTUALLY GIFTED STUDENTS: CATEGORY VI;General Fund;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;TEACHER SUBS;GENERAL FUND;Teacher,Retrd Shrt Term Sub ;Regular;nan;nan;nan;nan;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;0.89;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Security & Safety;O&M;School Reported;School;Unspecified;School Monitor/Security;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;High School;SECURITY OFFICER;nan;nan;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Extracurricular Activities;nan;POLICE PATROL MAN;171.67;Undistributed;Student Activity Fund;OVERTIME
Special Population Program Management & Support;NO_LABEL;Shared Services;Non-School;NO_LABEL;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;TRAVEL - EMPLOYEES;nan;STATE PRESCHOOL HANDICAPPED - INSTRUCT;nan;nan;nan;nan;ADMIN. SERVICES;nan;IMPROVEMENT OF INSTR SERV;nan;nan;271.89;PRESCHOOL HANDICAPPED STATE GRANT;General Fund;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;GENERAL FUND;Teacher, Short Term Sub ;Regular;nan;nan;nan;0.004310344827590001;CORE MATTERS;nan;PROFESSIONAL-INSTRUCTIONAL;109.657938468;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Unspecified;Nurse Aide;Base Salary/Compensation;PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Head Start;CLINIC AIDE;nan;Regular Salary;Salaries Or Wages For Support Personnel;School ;0.06;Health Services;Instruction And Curriculum;TEACHER BACHELOR;3039.42711067;PRE-K;Head Start;REGULAR PAY
School Administration;Leadership;School Reported;School;Unspecified;Sec/Clerk/Other Admin;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Secretary II ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;OFFICE/ADMINISTRATIVE SUPPORT;930.32;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Teacher, Elementary ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;873.78;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Facilities Planning;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITALIZED COMPUTER HARDW;nan;nan;nan;nan;nan;nan;GROWTH                        ;nan;PLANNING,RES,DEV,& EVAL       ;nan;nan;570.21;nan;GENERAL FUND                  ;GROWTH                        
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, REGULAR;nan;Basic Educational Services - District Objective ;Salaries And Wages For Teachers And Other Professi;School ;0.11;Instruction;All Campus Payroll;TEACHER MASTER;6276.41001534;Basic Educational Services;General Operating Fund;REGULAR PAY
